tweet_id,sentiment,content
1956982576,sadness,diesel yaris mpg sad available us thatd awesome
1956982605,sadness,want buy great album unfortunately dont hav enuff funds quotlong time noisyquot
1956983160,sadness,honestypain blech
1956983171,sadness,ok passengers one alive theyre dead dont know til end cry
1956983467,neutral,home alone much
1956983509,worry,ia much havent really happy cooks choices singles
1956983690,sadness,fell asleep beach didnt put enough sunscreen lol
1956983851,worry,think son might flu cause def cleaned stanky puke mess poor pumkpin
1956983874,happiness,great see oin amp cynthia happy dinner great cute little place bad oin got sick afterwards
1956983931,neutral,cant give bday nudges
1956984185,worry,woman transfer first impressions sexualmaternal onto less threatening man weak
1956984205,neutral,brothers bloom wont opening weekend el paso ill buy brick enjoy watch brothers bloom
1956984559,neutral,says miss plurking
1956984864,worry,bitten blood cat way rabies bacterin seems shots months never wash cats home hate water
1956984894,neutral,miss voobys
1956985129,neutral,neither elp
1956985535,happiness,dude favorite sandwich place ever ummm take pictures
1956985612,worry,sad shin ae got marriedand wasnt alex
1956985758,worry,sure tweet youre back news abuzz tr knights leaving quotconfirmedquot today muy triste
1956985764,sadness,ohh thursday exams day wednesday
1956985973,neutral,mix dentist appt afternoon rescheduled tomorrow
1956986211,sadness,thinking excited guys move realized sad see go
1956986359,worry,goooood mooorning people sun definitly spring first spring hail storm car dimples
1956986767,sadness,love itsakey usb sticks gb australia
1956987381,worry,fresh prince sleepy sleeps nightly routine gotta go dmv early tmrw
1956987600,hate,dammit hulu desktop totally screwed ability talk particular port one dev servers cant watch code
1956987828,worry,jealous mom talking want see twittering making miss
1956987904,worry,cant sleepi keep thinking puppy played today
1956987950,worry,im suppposed sleep got much amp got one part song stuck head quotyour jerk iknowquot blaahh
1956988145,neutral,whats going sweetheart
1956988218,neutral,freaking difficult get systemwide spellchecker shit id settle office suite one stupid unhelpful windows
1956988223,worry,last one month due summer strawberry availble chennai markets
1956988477,neutral,work gotta go bed soon
1956989093,love,correct adore plucked put arm cuz cryin better hahaha
1956989514,sadness,hiii im ipodi cant fall asleep
1956989526,sadness,dont wanna work tomorrow get paid
1956989560,sadness,feels sad coz wasnt able play guys
1956989561,neutral,princecharming
1956989601,hate,cayogial wanted come bz summer sure anymore teachers life summer sucks
1956989914,worry,first ever dropped call mobile call less charged data even though data pack
1956990288,hate,win sigh rakeem
1956990413,neutral,oh time real
1956990568,sadness,darn allergies dont like time year never used problem either
1956990729,worry,oh one minute late oh well
1956991009,hate,damn sucks
1956991673,sadness,wanted come bz summer sure anymore teachers life summer sucks
1956991704,hate,website gave virus opened windows kept popping
1956991723,worry,ahh big scary bug flying around room
1956992030,sadness,wish knew puts throughshe stole heart never gave backand occasionally likes like look
1956992144,worry,nasty cough cant sick huge weekend ahead
1956992349,neutral,stone cold crazy
1956993007,boredom,im tired
1956993080,neutral,shift time bbye biochem waaaaahhhhhh
1956993206,neutral,im sure cum play im workin til midnight
1956994067,neutral,second wish rained
1956995196,sadness,early happy day birth case dont make tired therapy today n taking medicine misshu love ya
1956995505,neutral,damn eric anyone else need hair played
1956995679,neutral,im feel deflated ugh dog
1956995762,sadness,allergies suck ducks nuts lt
1956995852,neutral,well almost good day guess retry tomorrow
1956996081,hate,waraku tasteless expensive portion little waraku
1956996385,love,sounds good appreciate suggestion week still offline time ask refund
1956996470,worry,died wait magic jack read
1956996673,hate,youstinkatrespondingtotexts
1956996730,sadness,wonders karma points turned
1956996765,happiness,need pack cali cali cannot waittt thinking glass wine order celebrate weekend vaca still work morrow tho
1956996776,sadness,miserable feel like im gona cry sux
1956997143,neutral,well ran beer left sure eta waiting waiting waiting bleh gonna long nite methinks
1956997352,worry,nose stud fell cant find looks like ill head amsterdam today get new one
1956997619,neutral,claire love show got office radio
1956998370,love,pats philly love mmm cheesesteak miss boyfriend love vacation
1956998532,sadness,sigh im going bed dont feel right anymore
1956998538,neutral,focused tom much didnt see beloved barack oh must vote poor president votes
1956998698,neutral,epicentre wheelock place tourists
1956998704,sadness,depressed watching think dance
1957000040,sadness,cross cause im stuck twiddling thumbs ugh
1957000077,neutral,miss th
1957000152,neutral,know like said idea long takes investigate stuff
1957000290,worry,cant sleep im sore move
1957000314,neutral,awe miss baby
1957000336,empty,answered never learned write french basic stuff
1957000372,neutral,chocolates never say
1957000788,worry,achieving new appreciation xml build script really painful cumbersome
1957001049,neutral,im awake ill nap afternoon
1957001370,worry,cant anything
1957001496,neutral,still needs another hours sleep
1957001506,relief,im work
1957001854,fun,rip leonardo great mini fiddler crab
1957001967,neutral,morning tweepleway early
1957002082,sadness,last day working uni today sad times
1957002773,love,thanks neemah im gonna soooo close izzy yet far
1957002923,worry,head hurts bad could scream
1957003048,worry,go im tired airmatras broken somewhere im even pain
1957003356,worry,new work wellness challenge going well committed check email pm failed first day twice
1957003440,worry,new blog post blog auto insuran found auto insurance policy expired careless meanw
1957003715,neutral,bestfriends mia wat
1957004184,worry,oh meni really cant see facecmon guys
1957004519,worry,im showing age renewed tags last week went got insurance renewal email today went dont wanna old
1957004606,worry,sole supporter sole supporter
1957004749,hate,dont hate finish work theres still hours left work time
1957005165,worry,urgh stop guys
1957005226,sadness,still missing husband really want home
1957005279,sadness,miss puppy
1957005410,surprise,days month left mb left onpeak downloads
1957005696,fun,didnt get memo looks amazing
1957005713,sadness,ive given pizza kids would never let fav hot ones
1957005817,worry,reading tabloids peoples livesthinking im gonna mine baby leaves
1957006033,sadness,yearling pet home died sad whole family
1957006074,neutral,fun sun hmmm hell cold
1957006098,worry,got giant splinter stuck underneath finger nail today muppetsit hurt got go first aid first time
1957006245,sadness,hate change course fans life lt oh havent met rob something went horribly wrong
1957006307,worry,feeling sad reason
1957006547,sadness,well fuck new pain med odd warning actually applies cant take chan displeased
1957006674,sadness,uploaded new blog painful story year old man cried wanted die sad
1957006725,neutral,dont think want details
1957006830,neutral,hi mary poppins
1957006947,worry,addicting kind curse night time everytime one feel like making music afterwards
1957007167,neutral,last tweet didnt send bad phone
1957007268,fun,omg ur alive lol day gone sooo slow im going insane grrr anything tonight
1957007357,empty,headache im going bed goodnight
1957007394,neutral,watching parental control
1957007437,fun,get california vintage ahahah best dresses want dont ebay
1957007633,sadness,saw pics past thanksgiving sad grandma
1957007981,worry,wont let
1957008075,sadness,took shift tomorrow dont really feel like working right
1957008193,sadness,money phone
1957008287,worry,spent last night aampe er wife tangled wheels daughter amp hit deck dislocation amp fracture resulted
1957008292,worry,days im ready visit torchwood see theyve heard anything
1957008434,surprise,bris cant hear thunder
1957008478,surprise,bec vs fat food winner fat food weeknend ill beat
1957008498,sadness,bad red devils disappointing say least
1957008766,surprise,dream pretty pretty beach beach woke
1957008802,sadness,ware se fast enough x xm ssd raid mhz iop hpt might try adaptec ghz
1957008987,surprise,da heck garage man get ask
1957009454,worry,ate mandy please forgive really sorry dont wanna lose bff
1957009666,hate,umm yeah thats probably pretty good note self eeeeee
1957010072,worry,plane tickets expensive
1957010329,fun,umm yeah thats probably pretty good note self eeeeee
1957010415,worry,needs job badly
1957011291,sadness,daaammmnnnnn wish
1957011738,worry,went di bella coffee roasters today asked job person needed speak holiday fb
1957012476,sadness,played latter parts voodoo village part coop lost usual partner
1957012535,empty,nite im n bored opposed almost sleep frm b
1957012769,sadness,bad friend
1957013149,neutral,happy birthdayyy hope awesome day didnt see next last night
1957013166,hate,im shit right im vacation got workin
1957013488,neutral,ill oir
1957013697,neutral,guess go girlie im still gym work
1957013723,hate,would wish severe migrains would stop docs prescriptions arent working
1957013804,love,missed game
1957013885,sadness,internet last night er brill massive explosion end nearby gas works er standby
1957013895,hate,cuz airlines super lame
1957013896,sadness,still pity comes lamb though
1957014267,sadness,im sorry hear optimist things get better us
1957014389,relief,done painting bedroom furniture still table wait move uggh moving heat
1957014493,hate,im tiredand insomnia
1957014517,neutral,hungry fool ill probably never see krispy kreme enjoy closing
1957014653,neutral,airport didnt show tonight homo
1957014706,hate,hate bakersfield hate ports let go home already want start vacation
1957015287,neutral,
1957015475,neutral,looking desktop twitter app actually let access urls suggestions liked twittle linking
1957015719,worry,people house know close doors
1957016086,surprise,completing facebook quizzes time morning especially friday morning
1957016169,neutral,amp soooo hungry
1957016339,worry,dont like possibility left side brain hurting thing called vp shunt possible death
1957016697,sadness,cancel wow
1957016818,worry,wants make music profile dont money dont know write music dont know play instrument studio
1957017164,sadness,yeahim sad quotravenclawquot account love account bits
1957017177,worry,hear helicopter flying house thats kind weird news headache back booooo
1957017320,worry,oh always lt
1957017333,neutral,back school ms suhanas last day ft ocu okay im playing altnoy
1957017486,neutral,poll trying get work powerpoint avail
1957017522,happiness,took math test today day test teacher says bring calculator luke confident teacher decided calcs
1957017595,happiness,omg concert awesome madrigals gave chills almost every piecebrooks also called alumni didnt get go
1957017610,neutral,yeah terrible cockatoos hardest live emotional good thing found though
1957018061,sadness,late nothin
1957018162,worry,think vog making sicker think feeling slightly achy
1957018678,empty,watching harpers island lol vodka involved
1957019034,worry,homework sux big time maths worst
1957019121,neutral,would better imo let play songs provided start quotget itquot blacks
1957019458,neutral,wordsaftersex never started
1957019556,sadness,sometimes wish things could go back way beginning last summer
1957019715,worry,downloaded new twitterfon update thinking fixing typing problem new tweets didnt
1957019766,empty,trudys burnetthe one north one goes
1957020180,sadness,feel way guess matter always memes
1957020385,happiness,cant minutes treadmill done minutes today already gonna minutes
1957020390,worry,im sooooooooooooo confused
1957020593,neutral,friends like vaikonedumaran ltte didnt need enemies wrong advice wrong time led numerous deaths amp lost cause well
1957020624,worry,work day
1957020702,happiness,chillin roomies cant wait zombie clwn cr gonna weeks
1957020861,neutral,looove guitars playing think sound magnificent better
1957021039,worry,refunds retrieve accounts takes like week hoping thief doesnt use hacks permaban
1957021224,neutral,im cries lol
1957021305,sadness,cute malay girl came seemy room rent sadly think guyfreind bit misleading disappointing lol
1957021321,surprise,epicentre wheelock place units amp tourists starting today
1957021486,hate,hate new mt dew commercialthe one giant mosquitoit scares grosses time
1957021631,neutral,come knight well hours
1957022610,worry,super keen drive home rain additional concentration required dont really wanna deal
1957022799,surprise,aw u cant let secret
1957023061,surprise,im sorry dont think stick least compared used look like
1957023133,worry,transport church wont making im crushed oh well time assignments suppose throat really hurts
1957023263,hate,hate see pregnant women smokinggg sooo irresponsible n selfish saaad ultimately baby one suffers
1957023739,hate,liesliesliesyou cant avoid lie practicallyeverything
1957023842,neutral,twittascope rocking socks go away already
1957023917,neutral,driving back home forgot piece cake
1957024334,worry,tried jumping without trampoline like thud thud shouldnt eaten cookie
1957025428,sadness,everytime send email coach feel need practice shitty balls lol
1957026475,sadness,pissing letting follow ericka
1957027495,sadness,going sleep peaceful wanted hear say good night didnt happen good night everyone
1957027630,sadness,mums trying make feel ebtter stopping voting adn winning shortstack almost cried
1957027687,neutral,close tacosone spot late
1957027841,empty,umm bout emaint get see da game see dey survived anotha game da series due notin lebron im guessin
1957028656,surprise,thinking much im work
1957028775,worry,forgot live jonas brothers facebook
1957028895,sadness,havent seen muffin two whole days
1957029111,sadness,ill miss yall back give regards
1957029634,surprise,gap year going quick
1957029641,worry,admit im bit bummed wasnt friends walking today
1957029899,neutral,girl blunt soooooooo thoughts right absolutly great day stressorscome home
1957030196,worry,twitter hacked
1957030545,sadness,found mj mouse flats djs course none left size
1957030596,neutral,wont time buy need new binder pa
1957030622,hate,hahaha well try ugly
1957030793,neutral,man ulduar hard
1957031520,worry,dont even want know know vhemt dont go wed miss
1957031859,fun,thats awesome weekend cant go im moving sat lot fun though
1957032014,neutral,night night twitter world still cant believe thomas thing tomorrows gunna funsad
1957032051,neutral,happening
1957032114,surprise,oh hugs
1957032127,neutral,bored talking someone theyre busy something else kinda bummer idk
1957032228,sadness,knoww things wont samee lt
1957032539,worry,omgness pm need beup early set garage sale starts wish said im beat
1957033043,happiness,kno doooo yall partyin
1957033103,worry,okay twitter suddenly changed respond messages
1957033219,neutral,ugh dad told read article kavya shivashankar spellin bee girland like
1957033558,worry,decided matter good hair looks curly doesnt justify burn get curler hands covered suck
1957033776,sadness,going sleep gonna fall asleep playing apps tmrw going suck
1957033815,neutral,yea gotta
1957033874,hate,hate bf beats da dogs guess way teach pitts
1957033901,worry,sprained ankle like really badly tore stuffs hurts birthday weekend
1957034202,sadness,cant believe metal gear solid song stolen im disappointed
1957034289,hate,think may broke toe bar tonightthanks drunk girl steppin
1957034434,neutral,one sale done today work explored balconies big theater w coworkers fun day void chili fries tips
1957034566,sadness,wish left dead first id need something play
1957034940,neutral,
1957034983,neutral,story reminds living portugal
1957035419,neutral,youre diabetic dad amp might sure still allowed eat sugar throughout day
1957035564,happiness,spilled beer leg wasted half beer home met cute girl good conversation
1957035950,hate,roommate loves ignore
1957036183,neutral,ill make nachos tomorrow better would made
1957037405,neutral,yeahhh ampdont judge pillow
1957037860,relief,scary lightning thunder im glad going sleep hope im late school tomorow haha
1957038324,sadness,teeth head hurts
1957038398,sadness,hate rob zombie movies amp smell weed vommmm
1957038470,hate,maths science strongest thinkdunno bout geography like day study year work
1957038475,boredom,waiting line tryst
1957038477,worry,hope get job cuz need apartment im drunk amp miss lil punkin tehe
1957038763,worry,got home wanting read last chaper breaking dawn cause dont want beover
1957038970,worry,need held gnite
1957039203,worry,hanging sam billy veronica going school tomorrow take sam body shops dang car accidents
1957039456,sadness,arrested development sad
1957039841,neutral,wicked time leaving come cant stay night
1957039894,sadness,omg keep losing followers sad want one daythats goal
1957039922,sadness,feel deflated doggy
1957039947,worry,wanna see hair hows everyone
1957040172,sadness,empty trash mac one difficult things ever done life pictures gone
1957040395,sadness,im contacting paws philippines find quottigerquot new owner im sad love dog soo much
1957040988,sadness,got home wanting read last chaper breaking dawn cause dont want
1957041569,worry,aww pray arroyo family everyone
1957041648,neutral,theres manual process taking ever outlook database pffff crappy msft product
1957041745,sadness,fuuudge movie store closed
1957041767,sadness,alo sad quiet empty tonight
1957041812,hate,hahahaha horrible others singing im sure could work wish could afford drum set
1957041856,worry,never answered dm sent need info
1957042008,worry,trying get pilot first season friday night lights oh gosh pass tissue
1957042316,sadness,aw headed cancelled trip aussie
1957042474,worry,cystic lacrimal infectection eye face swollen hurts
1957042509,worry,didnt think anyone caught
1957042579,empty,need sleeping im even tired
1957042734,empty,
1957042799,neutral,oh nevermind think thing unsalvageable
1957042862,neutral,lyin bed faaaaar early
1957043226,sadness,sad christian lacroix file bankruptcy
1957043241,sadness,dont feel good fuckkk
1957044366,boredom,agree work double shift
1957044680,worry,looks like ill never go zoo
1957044694,worry,ohh poor girl ill email relying october mr
1957044783,neutral,medhurst play
1957044789,worry,bad times
1957044935,hate,aarrgghh fuka hose leaked water new floating floor
1957045395,sadness,go dreaded dmv tomorrow
1957045641,neutral,im bit bens thaied
1957045692,happiness,english class working interactive orals
1957045940,worry,thank rec doesnt work
1957046053,neutral,im sorry excited tomorrow night karaoke getting anything special bday
1957046090,worry,puppy gizmo hs haha still growls always look back long pruple scar fingie
1957046631,worry,dont know ima work tomorrow wit body dis sore ugh
1957046815,neutral,wo
1957047408,neutral,yeah plus little far walk pinocchios sushi
1957047569,worry,im feeling pressure head always kicks nasty headache im looking forward
1957047571,sadness,taylor swift joe jonas looked really good together im kinda sad broke
1957047787,worry,im suppose turn sentence outline research paper within hour online neck hurts
1957047828,worry,lady across way miscarriage say prayer
1957048027,sadness,god want sleep
1957048703,hate,ohhhh thunderstormsboo always make power go
1957048870,worry,feel deflated doggy
1957049167,sadness,found book starting real paperbound journal tonight annoying zit lip makes look like herpes
1957050633,hate,ratt rocked nashville toniteone thing sucked encore like still fun show pearcy hott bad boy look
1957050684,worry,feeling bad got bad news mum
1957050747,sadness,dun wanna
1957050890,sadness,damn girl im ya gotta let know get kit together amp got flyer next weekend iquotm
1957051517,sadness,dbl booooooo sick flippin blows bahaha kno dont many friends either feel lame haha
1957052167,neutral,thats thinking time gonna
1957052211,neutral,peeps still fun times gotta sleep tho work cool hot chicks none cool ____________ missing
1957052409,worry,dont feel like working think tweet often
1957052932,sadness,feels sick stomach idkk whyy
1957053170,worry,vinerinimic special sau probabil un alt weekend pierdut
1957053247,neutral,counting hours lost sunshine weekend
1957053338,surprise,dude saw sf pics looks like mini excursion pretty kick ass didnt see sun tho
1957053409,relief,home safely hungry
1957053566,sadness,um thrown van yesterday taken er
1957055178,worry,got final table butwent third dont think ill getting free seat
1957055396,neutral,good morning work morning gutted lol nevermind
1957055530,hate,work morning friends get party upstupid bberry lite flashing red messages
1957055981,happiness,fb boring wanna sing right
1957056027,sadness,link doesnt work
1957056041,neutral,hahaha dont know anyone anything except powers lol live bubble
1957056896,worry,humpalow um ya think cell dying
1957057026,worry,last day worksick bone
1957057469,worry,feel like im house arrest
1957057586,neutral,love like wareasy begin hard endfiuuhh
1957058130,surprise,ur supposed bk tho
1957058219,worry,know shortage shells crabs use beach due beach combers sad
1957058436,surprise,oh nighty night
1957058504,happiness,must new music wont sleep give us chapter might die first though hurry
1957059348,sadness,stupid tooooth hurts
1957059587,love,love song quottogetherquot thats quothisquot song mewell think still
1957059671,neutral,ready go school
1957059917,sadness,computers broken broke laptop use phone ahh still cause fucked order
1957060283,neutral,good isnt holiday chalet sight look v similar ones going home today
1957060439,worry,sad economy heard another friend losing job sad reminder
1957061418,worry,im starting feel really panicky anxious something bad happened cos seems like ages
1957061527,worry,dog ran awayyy
1957061884,hate,suck bad
1957062262,worry,im back top molar extracted swollen face numb toothache sinus pain
1957062621,relief,finished hours texas life insurance ce tonight hours go
1957062676,worry,anyone know good rap songs need make rapfun cd idea helllllpppp
1957062698,love,want go peru summer ahhhhhhh hopefully yesyesyes miss
1957062783,empty,happen maids quit
1957062827,sadness,im awake anybody else awake wish lived us since fun happens im asleep
1957063783,hate,charles power lol damn savemart lost power could buy beer
1957063845,sadness,heehee love tired
1957064177,worry,mobile phone refuses charge either battery broken chargerrr booooo
1957064253,worry,oh wish would get sign something send let call meet something
1957064566,worry,hmmm thought u sleeping bad cant see videos tomorrow night
1957064575,sadness,morning everyone sorry going early last night bad news felt totally crap today new day
1957064578,empty,went beach started raining
1957064908,sadness,wish parents put chinese school younger itll much easier get job
1957065570,relief,yeah physically moving apparently well reporting directly mr hayward
1957065963,neutral,airport didnt show tonight homo
1957066120,worry,jealous looks like schindlers list toronto
1957066701,enthusiasm,want another tatt
1957067386,neutral,come erock left bah
1957067779,enthusiasm,need make lot money tomorrow
1957067988,sadness,room makes sad
1957068229,worry,nearly fell asleep jolted bed massive panic attack im sure sleep
1957068585,neutral,gays made tonight
1957068880,sadness,oh fck completely forgot thirsty thursday oh gaga sucks
1957069453,sadness,one people wrong world blames people great world living shit
1957070273,surprise,nope sleeping cuz live east coast
1957070484,neutral,bet cool sr huh havent stopped sweating since noon dad packing
1957070534,sadness,eww dislike
1957070786,worry,tactical mistake going city library buying milk knew ouch ouch ouch maybe good thing didnt try uni
1957070871,neutral,decided trans frm relaxed natural hair wish whole head looked like roots age instant gratification
1957071331,sadness,sorry bout cat
1957071583,neutral,needs increase salary
1957072308,worry,stomach feels like touching groundim full
1957072400,love,pug woke incredible sleep
1957072637,love,cant wait hear new album im sure amazingplease replay love much
1957072682,worry,sooo much work little time
1957072896,sadness,missed iron chef
1957073073,sadness,ds version sucks
1957073201,sadness,bad day
1957073668,enthusiasm,know ridiculous never got hang love chicago want go shopping trip sounds like fun
1957073753,hate,hates net ayaw bumukas ng twitter
1957073984,worry,ugh internet
1957074101,surprise,omg didnt tweet much today sadness
1957074214,worry,feeling giddy wanna go home
1957074267,neutral,week wasnt without adam lambert performance
1957074812,neutral,link doesnt work
1957074977,worry,packing last day youth camp
1957075035,neutral,gossip girl coming back chaceeeeeee
1957075180,neutral,smh hiphop nursery rhymes
1957075229,worry,somebody please save polar bears
1957075268,happiness,noooooooooooo look lot pictures lol lol
1957075370,surprise,really sleepy bored right word much work
1957075457,worry,come attention yo friend ive recently gained ton weight didnt know
1957075557,worry,guess im staying home tonightno movieing
1957076048,sadness,went cd store search cd
1957076214,worry,reminds weather month ago horrible hope well hugs
1957076433,sadness,miss mom quotmay angels lead inquot
1957076450,love,theres really android twitter app tweeties calibre
1957076577,hate,jacksonville beach walking cold ass water work morning ily ltgt
1957077528,neutral,
1957077552,sadness,feel way every day
1957077564,sadness,cant sleep sucks one day sleep get go shopping mom ugh
1957077934,neutral,well got home till tmw p comcast right didnt miss
1957078157,sadness,sleppytime really missing godfather right love wayne
1957078740,sadness,headache right sucks
1957079130,worry,hope ya sleepin well guys still
1957079355,fun,finished im color drawing come
1957079403,sadness,lakers baby lakers ill miss game tmwr work youll keep posted please
1957079496,sadness,comfort food day pan mee though didnt taste good
1957079533,worry,damn drunk hot sucks
1957079568,sadness,misses baby
1957079622,worry,sleeping paperwork
1957079972,worry,showered icecold water sweating means one thing im sick
1957080150,worry,midnight cry wish person wanted wanted right
1957080521,neutral,ima need follow real quick cause cant dm
1957080579,sadness,im poorly cant sleep
1957080963,worry,went pole class feeling discouraged hopeless cones dancing sexy moves spreading legs
1957081280,worry,poor unfortunate souls dont appear pants
1957081795,worry,told often wash hair would never speak
1957082086,worry,looks like another sleepless night dedicated homework sorry advance ms chapman
1957082503,worry,u lot mock
1957082536,worry,didnt say goodnight
1957082538,hate,pussy damnit sending email right btw
1957082926,sadness,work tom
1957082939,neutral,hongkong international airport wait hours next flight cebu
1957083056,neutral,cant sleep nothings tv
1957083084,love,pics uploaded baby pics cats missy adult pretty little kitty batty kitten heaven
1957083230,neutral,oh youve superseeded good enough
1957083616,sadness,today say goodbye second good friend week dmp least sun shinning im definately working pm
1957083641,anger,fuckinm transtelecom
1957083786,boredom,really really bored guess go bed
1957083910,worry,met stranger min ago stalking store
1957084165,surprise,tee beefinwhat u supposed leavin
1957084166,sadness,sometimes things say hurt ones love unintentionally never ever take back fix
1957084446,sadness,sucks
1957084552,neutral,iiii know mean
1957084638,sadness,fever dont feel work
1957084742,worry,taking horse pills hoping get sleep tonight
1957084935,neutral,pgpm student pgpm student years back wish could stay one
1957084945,sadness,missing days cant pass quick enough
1957085151,hate,hey thats school hate place
1957085211,sadness,working home today back killing doctor physio later today
1957085406,neutral,back work distractions
1957086137,happiness,demi say hi enough replay please love much
1957086150,neutral,awwww never noticed
1957086168,neutral,sucks well state starts tomorrow im headin bed nitey nite
1957086444,worry,looks like going nice work today annoying choice
1957086920,neutral,guys keep set list forgot ask one xx
1957087043,neutral,first impression silverlight sadly based saw today quite problematic
1957087059,worry,desperatly hoping dad takes vanessas game
1957087780,worry,hi fuck job
1957087793,sadness,missing deeply
1957088016,neutral,time go bed get go work
1957088179,happiness,big vanessa going september going fast hard cuz im workin much miss alot
1957088224,sadness,sniff sniff take care ravels hopefully well chatting soon mean time ill hella miss
1957088340,neutral,lucky want teleport
1957088574,worry,somebody please save polar bears
1957088900,worry,nose runny head pounding teeth hurt like bitch man feel awful
1957089208,sadness,dont want leave
1957089386,relief,headin homerefreshed mind soul justa lil bitbac reality
1957089465,happiness,good lord seen agency work upcoming open day money jam
1957089708,empty,wut
1957089935,anger,working fridaaaayyyyy
1957090025,worry,grove drag hell hope doesnt suck
1957090285,worry,feel like shit saying happy belated birfdayy im month late
1957090408,sadness,lmaothats sad kinda discourages rom goin shits wack
1957090493,surprise,got home work finished cleaning need eat dinner dont know want ughoh well might eat
1957090496,sadness,wish
1957090643,sadness,miss little batty months old got sick always fun full life lt even end
1957091075,neutral,fc finally time hate keeps happening
1957091147,neutral,seriously bored without anyone talk tired enough sleep
1957091327,sadness,morning hate mornings offensive
1957091357,neutral,still give computer break omg
1957091372,sadness,bed bed bed never answer texts anymore thought day sent one never heard back sad day
1957091954,neutral,u
1957092017,sadness,waah longer peeps
1957092623,sadness,lol wow dawg doesnt sound like youre playing feel bad haha
1957092921,surprise,extremly deep
1957093069,happiness,little foster kittens getting bigchubba winston going b missed get amazing homes
1957093096,enthusiasm,one week till exam block
1957093148,neutral,im home cats right
1957093185,worry,hoping didnt fail english would sad
1957093471,worry,know would great shoulder stop hurting sleep normal wantneed solid hours good sleep
1957093807,neutral,lenos last show tonight like better conan
1957093920,sadness,im sorry bad driving experiences
1957093924,neutral,dont
1957094323,sadness,already misses
1957094812,hate,plan may changes nooooooo
1957094989,hate,sister douchebag
1957095452,surprise,theres relisting fees dont complete sale sucks
1957095604,neutral,random
1957096302,worry,knew shouldve worn sars mask plane socal feeling beginnings sore throat
1957096324,sadness,gutted bathroom still isnt free early work isnt going happen need loo
1957096447,neutral,july long
1957097210,worry,wish could im stuck jab eyes knitting needles
1957097329,surprise,wonder mnet show
1957097629,neutral,wearing glasses gives headache
1957097730,enthusiasm,stop talkin food haha fill like sum nw hha hows day goin starting
1957098732,worry,finished sewing night uploading pictures slidebar beach cant believe difficulties twitter
1957098844,sadness,thank cant wait ummm btw ima crash still sick
1957098983,sadness,first work computer home laptop fucked
